feature,importance,is_new
total_parking_minutes_cumsum,0.088396035,False
temperature_cumsum,0.07733386,False
metar_relative_humidity_weighted_exp_cumsum,0.038088348,True
age_months,0.031307135,False
metar_relative_humidity_weighted_exp_roll12,0.019529916,True
sea_salt_aerosol_5_20_mixing_ratio_weighted_exp_roll3,0.0147231305,True
metar_temperature_c_weighted_exp_roll12,0.013016081,True
corrosion_index_weighted_roll12,0.012289102,True
h2o2_weighted_exp_cummax,0.01222965,True
salinite_totale_cumsum,0.011519405,True
metar_temperature_c_weighted_exp_lag1,0.011068323,True
sea_salt_aerosol_5_20_mixing_ratio_weighted_exp_roll12,0.0095501905,True
marine_corrosion_index_cumsum,0.0093439,True
metar_relative_humidity_weighted_exp,0.0077286023,True
sea_salt_aerosol_5_20_mixing_ratio_cumsum,0.00700629,False
salt_fine_ratio_roll12,0.0067689302,True
metar_temperature_c_weighted_exp,0.0066843536,True
chemical_aggressiveness_cummax,0.0066521135,True
sea_salt_aerosol_5_20_mixing_ratio_cummean,0.0064248187,False
humid_acidity_cummean,0.0063471966,True
sea_salt_aerosol_003_05_mixing_ratio_weighted_exp_cumsum,0.005791065,True
dust_total_cummean,0.0057498985,True
metar_relative_humidity_weighted_exp_lag1,0.0055243056,True
oxidation_potential_cummean,0.005499719,True
acidity_total_weighted_cummean,0.005348001,True
metar_relative_humidity_weighted_exp_cummean,0.005333758,True
pollution_index_cummax,0.005322427,True
high_humidity_zone_cummean,0.0051742615,True
organic_aerosol_total_cummax,0.0050882665,True
pollution_index_cummean,0.0047544152,True
organic_nitrates_cummean,0.0045776903,False
high_salt_zone_cummean,0.0045750844,True
sea_salt_aerosol_05_5_mixing_ratio_weighted_exp_cumsum,0.0044960985,True
corrosion_accelerator_cumsum,0.004333249,True
metar_temperature_c_cummean,0.0043100673,False
high_humidity_exposure_cummean,0.004229153,True
sulphur_dioxide_mass_mixing_ratio_weighted_exp_cumsum,0.0042092227,True
metar_relative_humidity_cummean,0.0042088823,False
combined_risk_score_roll12,0.0041836333,True
thermal_stress_roll12,0.004153576,True
corrosion_accelerator_cummean,0.0041261283,True
strong_acid_ratio_cummean,0.004078307,True
isoprene_cumsum,0.0040521557,False
sea_salt_aerosol_5_20_mixing_ratio_weighted_exp,0.004050693,True
ozone_pollution_cummean,0.00402062,True
formaldehyde_cummean,0.0039860643,False
metar_relative_humidity_weighted_exp_cummax,0.0039600907,True
humid_acidity_cummax,0.0039443825,True
acid_salt_synergy_cummax,0.0039057075,True
corrosive_conditions_cummean,0.0039049534,True
acid_exposure_roll12,0.0037591492,True
specific_humidity_roll12,0.0037558705,False
formaldehyde_cummax,0.0037515366,False
metar_wind_speed_kn_cumsum,0.0037334,False
dust_salt_mix_cummax,0.003688523,True
hydrophobic_black_carbon_aerosol_mixing_ratio_cummax,0.0036773987,False
hydrophobic_organic_matter_aerosol_mixing_ratio_cummax,0.0036677564,False
acid_salt_synergy_cummean,0.0036533882,True
c3h8_cummean,0.0036410687,False
hydrophobic_black_carbon_aerosol_mixing_ratio_cumsum,0.0036357197,False
humidity_salt_interaction_cummean,0.0035937359,True
oh_cummax,0.003584077,False
aerosol_exposure_cummax,0.0035725979,True
hno3_cummean,0.0035207334,False
sea_salt_aerosol_05_5_mixing_ratio_cummean,0.0035126386,False
acid_salt_synergy_roll12,0.0034166526,True
ozone_mass_mixing_ratio_cummax,0.0034013945,False
acid_salt_synergy_cumsum,0.003353932,True
humidity_salt_interaction_cumsum,0.0033507233,True
urban_pollution_cummean,0.003347274,True
total_parking_minutes_roll12,0.0033383972,False
metar_wind_speed_kn_cummax,0.0033328137,False
salt_acid_ratio_cummean,0.0033196532,True
nitrogen_monoxide_mass_mixing_ratio_roll12,0.0033153829,False
high_salt_zone_cumsum,0.003277462,True
ozone_mass_mixing_ratio_cumsum,0.0032557454,False
nitrogen_dioxide_mass_mixing_ratio_cummax,0.0031955917,False
isoprene_cummax,0.0031597102,False
hydrophilic_organic_matter_aerosol_mixing_ratio_cummax,0.0031579556,False
