feature,importance
temperature_cumsum,0.17161445
total_parking_minutes_cumsum,0.048920147
age_months,0.017660242
metar_relative_humidity_cumsum,0.013754611
sea_salt_aerosol_5_20_mixing_ratio_roll12,0.013559661
sea_salt_aerosol_5_20_mixing_ratio_cumsum,0.0101099275
hno3_cummean,0.008777245
sea_salt_aerosol_05_5_mixing_ratio_roll12,0.008000211
metar_wind_speed_kn_cumsum,0.00776966
sea_salt_aerosol_05_5_mixing_ratio_cumsum,0.0076108496
sea_salt_aerosol_5_20_mixing_ratio_cummean,0.0072162515
carbon_monoxide_mass_mixing_ratio_cummean,0.007142788
temperature_roll12,0.006573891
h2o2_cummean,0.006278061
hydrophobic_black_carbon_aerosol_mixing_ratio_cummean,0.0060955095
dust_aerosol_003_055_mixing_ratio_cummean,0.005940077
hydrophobic_organic_matter_aerosol_mixing_ratio_cummean,0.005908906
total_parking_minutes_cummax,0.0058935373
metar_wind_speed_kn_cummean,0.0058909548
specific_humidity_roll12,0.0058558076
ozone_mass_mixing_ratio_roll12,0.005780538
nitrogen_dioxide_mass_mixing_ratio_cummean,0.005765356
c3h8_cummean,0.0056091407
carbon_monoxide_mass_mixing_ratio_cummax,0.0055467845
specific_humidity_cummean,0.005511483
sulphur_dioxide_mass_mixing_ratio_cummean,0.005385025
hydrophilic_black_carbon_aerosol_mixing_ratio_cummax,0.005347263
hno3_cummax,0.005269545
c3h8_cummax,0.0052026375
metar_hour_precipitation_cumsum,0.0050799036
sea_salt_aerosol_003_05_mixing_ratio_cummean,0.0050374395
metar_visibility_mi_cummax,0.0050252783
sulphate_aerosol_mixing_ratio_cummean,0.005024616
ethane_cummean,0.0049943016
carbon_monoxide_mass_mixing_ratio_roll12,0.0049812836
oh_cummax,0.0048973737
metar_wind_speed_kn_cummax,0.0048539545
dust_aerosol_09_20_mixing_ratio_cummax,0.0047777323
sea_salt_aerosol_05_5_mixing_ratio_cummax,0.004734611
hydrophilic_black_carbon_aerosol_mixing_ratio_cummean,0.004699832
temperature_cummean,0.004687679
dust_aerosol_003_055_mixing_ratio_cummax,0.0046820105
sea_salt_aerosol_5_20_mixing_ratio_cummax,0.0046671815
metar_dew_point_c_cummax,0.0046499395
organic_nitrates_cummax,0.0046254173
isoprene_cummax,0.0046124593
hydrophobic_organic_matter_aerosol_mixing_ratio_cummax,0.0046082423
formaldehyde_cummean,0.004591953
nitrogen_dioxide_mass_mixing_ratio_cummax,0.004539048
nitrogen_monoxide_mass_mixing_ratio_cummax,0.0045154067
h2o2_roll12,0.004462717
metar_hour_precipitation_roll12_std,0.0044249715
h2o2_cummax,0.004422698
hydrophobic_black_carbon_aerosol_mixing_ratio_cummax,0.004409698
hydrophilic_organic_matter_aerosol_mixing_ratio_cummax,0.004380456
metar_hour_precipitation_cummean,0.0043724035
metar_dew_point_c_cumsum,0.004363535
metar_hour_precipitation_cummax,0.0043105646
metar_visibility_mi_cumsum,0.0043083704
isoprene_cummean,0.0042606103
ozone_mass_mixing_ratio_cummax,0.0042404844
oh_cummean,0.0041674287
metar_relative_humidity_cummax,0.0041658725
metar_visibility_mi_cummean,0.004157261
ethane_cummax,0.004124283
temperature_cummax,0.004067367
metar_dew_point_c_roll12,0.004019638
specific_humidity_cummax,0.0040080133
metar_temperature_c_cummax,0.003960926
sulphate_aerosol_mixing_ratio_cummax,0.0039592003
formaldehyde_cummax,0.0039420915
dust_aerosol_09_20_mixing_ratio_cummean,0.0039071655
ozone_mass_mixing_ratio_cummean,0.0038547728
dust_aerosol_055_09_mixing_ratio_roll12_std,0.0038533749
c3h8_roll12,0.0038041752
sea_salt_aerosol_003_05_mixing_ratio_cummax,0.0037890025
nitrogen_monoxide_mass_mixing_ratio_cummean,0.0037779184
