metric,train,test
Brier Score,0.0032372857850192704,0.10024417321701445
AUC-ROC,0.9999913732419496,0.9235636020826965
Log Loss,0.02699830279166048,0.3445179639982092
Train Size,50919,
Test Size,,12605
Train Aircraft,606,
Test Aircraft,,152
Total Features,331,
