iter	Logloss
0	0.6791929931
1	0.6665054962
2	0.653750696
3	0.6412844348
4	0.6295552294
5	0.6189750489
6	0.6070508412
7	0.5969911746
8	0.5872639516
9	0.5767134374
10	0.5680356857
11	0.5597860053
12	0.5514312359
13	0.5430799616
14	0.5357919911
15	0.529039098
16	0.5213259669
17	0.5141427982
18	0.5072361528
19	0.5019317566
20	0.4968238127
21	0.4915353172
22	0.485371638
23	0.4795869966
24	0.4734878685
25	0.468415283
26	0.4638379327
27	0.459200538
28	0.4541910124
29	0.4502564575
30	0.44670023
31	0.4422488801
32	0.438090116
33	0.4338609562
34	0.4301766508
35	0.4263585561
36	0.4233970606
37	0.4203258954
38	0.4168051396
39	0.4138517252
40	0.4110411808
41	0.4084486453
42	0.4059357922
43	0.4030366661
44	0.4008324073
45	0.3972092844
46	0.3939262884
47	0.3917064325
48	0.3886145328
49	0.3859924659
50	0.3836384613
51	0.3814529645
52	0.3792308255
53	0.3769110071
54	0.3753341068
55	0.3736311428
56	0.3720121511
57	0.3702255645
58	0.3682991205
59	0.3664658447
60	0.3650340521
61	0.36367093
62	0.3622089401
63	0.3604812874
64	0.3588552689
65	0.356618144
66	0.3552797616
67	0.3538493073
68	0.3522350557
69	0.3510701137
70	0.3493231176
71	0.3475876317
72	0.3464422457
73	0.3456031989
74	0.3445347648
75	0.3434486548
76	0.3422597049
77	0.3410563384
78	0.339921282
79	0.3381134608
80	0.3371041248
81	0.3361068232
82	0.3345679294
83	0.3333982611
84	0.3319300733
85	0.3309731672
86	0.3298512545
87	0.3289728471
88	0.3278025663
89	0.3268060446
90	0.3257923867
91	0.3249582019
92	0.3239829041
93	0.3232801193
94	0.3221242227
95	0.3213999942
96	0.320376972
97	0.3192900822
98	0.3181301499
99	0.3171013881
100	0.3164520826
101	0.3157134409
102	0.3147096118
103	0.3136474906
104	0.3127633021
105	0.3117211231
106	0.310951366
107	0.3102336796
108	0.3090990926
109	0.3083473527
110	0.307495756
111	0.3063995424
112	0.3057616994
113	0.3046968212
114	0.3037914955
115	0.302817463
116	0.3018948509
117	0.3013378766
118	0.3007211888
119	0.3000312338
120	0.299324344
121	0.2980596005
122	0.2973391782
123	0.2964315974
124	0.2961118566
125	0.2955564285
126	0.2951751087
127	0.2945022452
128	0.2940104214
129	0.293316251
130	0.2927460026
131	0.291816367
132	0.2909591496
133	0.2905484383
134	0.2898210752
135	0.2892830743
136	0.2887844999
137	0.2883313418
138	0.2877310791
139	0.2869391682
140	0.2865054558
141	0.2859547629
142	0.2853118325
143	0.2847823689
144	0.284265444
145	0.283767641
146	0.2833183659
147	0.2827075255
148	0.2823654586
149	0.2819859102
150	0.2815045262
151	0.2810685107
152	0.2807743979
153	0.2800954486
154	0.2796303773
155	0.2788700195
156	0.2782490193
157	0.2776437394
158	0.2770281077
159	0.2767035357
160	0.2761768756
161	0.2757800664
162	0.275544858
163	0.275074006
164	0.2745831321
165	0.2738235382
166	0.2735906072
167	0.2730344648
168	0.2723580744
169	0.2721087004
170	0.2714304804
171	0.2709516593
172	0.2706967764
173	0.2701263634
174	0.2696931208
175	0.269148229
176	0.2685165685
177	0.2680027189
178	0.2676375329
179	0.2670858883
180	0.2663651568
181	0.2658897257
182	0.265529082
183	0.2651928424
184	0.2646488535
185	0.2642507724
186	0.2637377303
187	0.2632551087
188	0.2629266186
189	0.2625832731
190	0.2622952799
191	0.2621215959
192	0.2616602769
193	0.2613655025
194	0.2608442319
195	0.2605520313
196	0.2601705046
197	0.2597926488
198	0.259479961
199	0.2591355922
200	0.258731347
201	0.2582313568
202	0.2576133263
203	0.2572856301
204	0.2567513392
205	0.256130476
206	0.2556730162
207	0.2551924601
208	0.2548793889
209	0.2545055126
210	0.2540597173
211	0.2537075702
212	0.2530542163
213	0.2528036785
214	0.2523673265
215	0.2521594557
216	0.2518977528
217	0.2516537645
218	0.2513871152
219	0.2510666935
220	0.2505355995
221	0.2501053035
222	0.249865941
223	0.2495101316
224	0.2491297593
225	0.2489091811
226	0.2485512608
227	0.2482775465
228	0.2479404931
229	0.2476814592
230	0.2472328514
231	0.2470380321
232	0.2468151888
233	0.2465051408
234	0.2460842973
235	0.245730214
236	0.2454276954
237	0.2449752326
238	0.2446589799
239	0.2442306854
240	0.2439936829
241	0.2438306117
242	0.2436230489
243	0.2432412389
244	0.2428903268
245	0.24266082
246	0.2424182915
247	0.2421743852
248	0.2418423252
249	0.2414950078
250	0.2412358231
251	0.2409180543
252	0.2405396135
253	0.2403262406
254	0.2400133382
255	0.2396630176
256	0.2393286162
257	0.2391241673
258	0.2388454309
259	0.2383925248
260	0.2380669375
261	0.2377545446
262	0.2373008727
263	0.2370263876
264	0.2367086281
265	0.2363578459
266	0.2361310861
267	0.2359094573
268	0.2356495041
269	0.235274089
270	0.2350369066
271	0.23457949
272	0.2341938938
273	0.2339365638
274	0.2336601636
275	0.2333853638
276	0.2328979496
277	0.2323417357
278	0.2321506117
279	0.2318915549
280	0.2316718472
281	0.2313386499
282	0.2309620545
283	0.2307295994
284	0.23044198
285	0.2302218282
286	0.2298604181
287	0.2294874988
288	0.2292559614
289	0.2288614153
290	0.2287796726
291	0.2286528159
292	0.2284186348
293	0.2281623766
294	0.2279468281
295	0.2278061239
296	0.2274273248
297	0.2270249197
298	0.2267108936
299	0.2263667302
300	0.2262100801
301	0.2257856663
302	0.225477338
303	0.2251890679
304	0.2249096656
305	0.2244263088
306	0.2241483822
307	0.2239856053
308	0.2236243009
309	0.2232483155
310	0.2229186913
311	0.2225497777
312	0.222303705
313	0.2220899169
314	0.2218089987
315	0.2216520384
316	0.221413222
317	0.2210520418
318	0.2209024263
319	0.2206427312
320	0.2203561115
321	0.2198718525
322	0.2196410743
323	0.2194842193
324	0.219145257
325	0.2189516788
326	0.2186170777
327	0.2184602574
328	0.2181970969
329	0.2179786937
330	0.2177552389
331	0.2175728414
332	0.2172736629
333	0.217003146
334	0.2168257245
335	0.2166353632
336	0.2163660289
337	0.2161731041
338	0.2159236046
339	0.2155951929
340	0.2153379118
341	0.2150484617
342	0.2146729103
343	0.2144032657
344	0.214188373
345	0.2140575891
346	0.2137843679
347	0.2134998731
348	0.2132786528
349	0.2129469694
350	0.2125460367
351	0.2122509578
352	0.2119053003
353	0.2117912373
354	0.211511456
355	0.211158064
356	0.2109065619
357	0.2106336331
358	0.2104627058
359	0.2102593576
360	0.2100499135
361	0.2097783528
362	0.2095728997
363	0.2092398631
364	0.2090815474
365	0.2088492405
366	0.2086553786
367	0.2083400754
368	0.2081050067
369	0.2077391979
370	0.2074126137
371	0.2071978255
372	0.2068982451
373	0.2066861097
374	0.2065385735
375	0.2063786372
376	0.2061741673
377	0.2059475275
378	0.2057719643
379	0.2055995609
380	0.2054680739
381	0.20523808
382	0.2050360346
383	0.2048211216
384	0.2046160901
385	0.2045190875
386	0.2043343396
387	0.2041338763
388	0.2039679145
389	0.2037360147
390	0.203610827
391	0.203461663
392	0.2033401456
393	0.203186786
394	0.2029155665
395	0.2027183035
396	0.2025878033
397	0.202434256
398	0.2022883116
399	0.2021242152
400	0.2018000846
401	0.2014242052
