iter	Logloss
402	0.201208647
403	0.2009975129
404	0.2008123043
405	0.2006818951
406	0.2005060532
407	0.2001985621
408	0.200000164
409	0.1998656997
410	0.1995465579
411	0.1993544087
412	0.1991667944
413	0.198950654
414	0.1987434043
415	0.1985486248
416	0.1982876026
417	0.1980715454
418	0.1978951908
419	0.1976630828
420	0.1974608844
421	0.1973376815
422	0.1971706288
423	0.1969206879
424	0.1968028875
425	0.196581554
426	0.1964241978
427	0.1962325246
428	0.1960000901
429	0.1957292482
430	0.1955368056
431	0.1953101073
432	0.1951278128
433	0.1949491844
434	0.1946811841
435	0.1944106425
436	0.1942087156
437	0.1940841132
438	0.193958238
439	0.1937429049
440	0.1934603174
441	0.1932777277
442	0.1931420817
443	0.1930367792
444	0.1928059237
445	0.1926452843
446	0.1924222802
447	0.1922677036
448	0.1921520617
449	0.1919739005
450	0.1917372342
451	0.1915472415
452	0.1913546421
453	0.1912163702
454	0.1909861569
455	0.1907812558
456	0.1906148976
457	0.1904104564
458	0.1902690497
459	0.1899789488
460	0.1897084948
461	0.1896294675
462	0.1894388868
463	0.18933162
464	0.189160487
465	0.1888292392
466	0.1885393908
467	0.1883377901
468	0.1881259262
469	0.1880057202
470	0.1877847662
471	0.1875076294
472	0.1872421521
