metric,train,test
Brier Score,0.0016205477810755065,0.12152905396665353
AUC-ROC,0.9999996971962803,0.9183424061879685
Log Loss,0.017475985623533415,0.45114968260054134
Train Size,50962,
Test Size,,12562
Train Aircraft,606,
Test Aircraft,,152
Total Features,1422,
Random Seed,,99
