feature,importance
carbon_monoxide_mass_mixing_ratio_cummin,0.0017799574
dust_aerosol_055_09_mixing_ratio_cummax,0.0017739736
ozone_mass_mixing_ratio_cummax,0.001767493
sulphur_dioxide_mass_mixing_ratio_roll24_mean,0.001767156
h2o2_roll12_mean,0.0017508032
metar_wind_speed_kn_roll24_min,0.001749749
metar_wind_speed_kn_roll24_max,0.0017485332
metar_dew_point_c_cummax,0.0017426902
isoprene_roll24_std,0.001742187
ozone_mass_mixing_ratio_roll12_max,0.0017293985
hydrophilic_organic_matter_aerosol_mixing_ratio_cumstd,0.0017213946
oh_cummax,0.001720503
formaldehyde_cummax,0.0017178245
hno3_roll12_max,0.0017091949
nitrogen_dioxide_mass_mixing_ratio_cumstd,0.0016975879
organic_nitrates_cumsum,0.0016936818
hno3_roll24_mean,0.0016904826
metar_hour_precipitation_cumstd,0.0016725913
total_parking_minutes_roll24_max,0.0016700546
carbon_monoxide_mass_mixing_ratio_roll24_max,0.0016614783
formaldehyde_roll12_mean,0.0016586545
hydrophilic_organic_matter_aerosol_mixing_ratio_roll24_std,0.001656025
dust_aerosol_055_09_mixing_ratio_roll24_min,0.0016556847
ethane_cummin,0.0016549143
metar_hour_precipitation_cummean,0.0016458882
metar_temperature_c_roll24_min,0.0016389868
hydrophilic_black_carbon_aerosol_mixing_ratio_cumstd,0.0016387001
hydrophilic_black_carbon_aerosol_mixing_ratio_roll12_min,0.0016266467
metar_relative_humidity_cummax,0.0016262373
dust_aerosol_003_055_mixing_ratio_roll24_mean,0.0016221314
sea_salt_aerosol_003_05_mixing_ratio_roll24_max,0.0016212213
metar_hour_precipitation_roll12_std,0.001619969
c3h8_cummax,0.0016186829
hydrophobic_organic_matter_aerosol_mixing_ratio_cummin,0.0016172295
oh_roll24_max,0.0016095254
hydrophobic_organic_matter_aerosol_mixing_ratio_cumstd,0.001602367
sulphur_dioxide_mass_mixing_ratio_roll6_max,0.0016004067
dust_aerosol_003_055_mixing_ratio_cummin,0.0015939326
sea_salt_aerosol_05_5_mixing_ratio_cummean,0.0015880321
c3h8_roll24_max,0.0015695175
ethane_cumstd,0.0015536274
hydrophilic_black_carbon_aerosol_mixing_ratio_cummean,0.0015433201
formaldehyde_roll12_max,0.00152659
metar_visibility_mi_roll24_min,0.0015244749
sea_salt_aerosol_003_05_mixing_ratio_roll12_std,0.0015226973
dust_aerosol_055_09_mixing_ratio_ewm6,0.0015153816
isoprene_cummax,0.0015023925
sulphur_dioxide_mass_mixing_ratio_cumsum,0.0015007656
ozone_mass_mixing_ratio_roll24_max,0.0014993028
organic_nitrates_roll24_std,0.0014960736
sea_salt_aerosol_003_05_mixing_ratio_cummin,0.0014912446
h2o2_roll24_min,0.0014816852
isoprene_cummean,0.0014734898
carbon_monoxide_mass_mixing_ratio_ewm6,0.0014706347
sea_salt_aerosol_5_20_mixing_ratio_roll24_min,0.0014657463
oh_cummin,0.0014600018
dust_aerosol_09_20_mixing_ratio_roll12_min,0.0014547723
sea_salt_aerosol_5_20_mixing_ratio_ewm6,0.001450831
metar_wind_speed_kn_roll12_min,0.0014435876
oh_roll12_min,0.0014424789
oh_cumstd,0.0014419705
h2o2_cummin,0.0014380155
sulphate_aerosol_mixing_ratio_roll24_max,0.0014374511
sulphur_dioxide_mass_mixing_ratio_roll24_std,0.0014295997
h2o2_roll12_min,0.0014278144
isoprene_roll12_min,0.0014172706
metar_dew_point_c_roll12_max,0.001416607
metar_temperature_c_cummax,0.0014164472
nitrogen_monoxide_mass_mixing_ratio_cummean,0.0014154994
total_parking_minutes_roll24_mean,0.0014139367
hydrophobic_black_carbon_aerosol_mixing_ratio_cummax,0.0014127307
sulphur_dioxide_mass_mixing_ratio_roll24_max,0.0014065282
organic_nitrates_roll24_max,0.0014046074
total_parking_minutes_cumstd,0.0013966319
metar_dew_point_c_roll12_min,0.0013937854
sulphur_dioxide_mass_mixing_ratio_cummin,0.0013917709
hydrophobic_black_carbon_aerosol_mixing_ratio_roll24_max,0.0013848145
oh_cummean,0.0013823264
ozone_mass_mixing_ratio_roll24_min,0.0013742998
metar_visibility_mi_lag12,0.0013664935
dust_aerosol_055_09_mixing_ratio_cumstd,0.0013652818
dust_aerosol_003_055_mixing_ratio_roll24_min,0.0013542688
hydrophobic_organic_matter_aerosol_mixing_ratio_roll24_std,0.0013437545
metar_relative_humidity_roll24_std,0.0013405238
hydrophilic_organic_matter_aerosol_mixing_ratio_cummean,0.0013399004
nitrogen_dioxide_mass_mixing_ratio_cummin,0.0013398821
temperature_cumstd,0.0013277878
metar_dew_point_c_roll24_min,0.0013269269
metar_dew_point_c_roll12_mean,0.0013200784
sea_salt_aerosol_003_05_mixing_ratio_cumstd,0.0013159366
metar_hour_precipitation_cumsum,0.0013144838
c3h8_roll6_max,0.0013143444
nitrogen_monoxide_mass_mixing_ratio_roll12_max,0.0013113022
nitrogen_dioxide_mass_mixing_ratio_cummax,0.0013095591
isoprene_cumstd,0.001297558
c3h8_roll24_std,0.001296751
sulphur_dioxide_mass_mixing_ratio_roll6_std,0.001293653
sulphate_aerosol_mixing_ratio_cummax,0.0012863583
isoprene_cumsum,0.0012826533
organic_nitrates_cummin,0.0012797378
metar_wind_speed_kn_cummean,0.0012764488
specific_humidity_roll24_std,0.0012757119
h2o2_roll24_max,0.0012647309
metar_relative_humidity_roll24_max,0.0012634344
organic_nitrates_cummax,0.0012618446
nitrogen_monoxide_mass_mixing_ratio_roll24_max,0.001260075
sea_salt_aerosol_003_05_mixing_ratio_roll12_max,0.0012555135
metar_visibility_mi_roll24_max,0.0012541298
sulphur_dioxide_mass_mixing_ratio_cumstd,0.0012522123
sea_salt_aerosol_05_5_mixing_ratio_cumstd,0.0012472065
organic_nitrates_roll12_mean,0.001237823
sea_salt_aerosol_003_05_mixing_ratio_cummax,0.0012372835
metar_visibility_mi_roll12_max,0.0012363301
dust_aerosol_003_055_mixing_ratio_cummax,0.001234391
carbon_monoxide_mass_mixing_ratio_cumstd,0.001233752
ethane_roll24_std,0.0012332882
sea_salt_aerosol_05_5_mixing_ratio_roll12_mean,0.0012267767
metar_wind_speed_kn_roll24_mean,0.0012265807
specific_humidity_cummax,0.0012132052
ozone_mass_mixing_ratio_roll12_min,0.0012120926
isoprene_roll12_max,0.0012117526
sea_salt_aerosol_003_05_mixing_ratio_roll6_min,0.0012108323
carbon_monoxide_mass_mixing_ratio_cummax,0.0012073185
sea_salt_aerosol_5_20_mixing_ratio_roll6_max,0.0012049576
metar_temperature_c_roll12_max,0.0011936995
hydrophilic_black_carbon_aerosol_mixing_ratio_roll12_std,0.0011926648
sea_salt_aerosol_05_5_mixing_ratio_cummin,0.0011912901
specific_humidity_cumstd,0.0011851708
metar_relative_humidity_cummean,0.0011844573
nitrogen_dioxide_mass_mixing_ratio_roll3_max,0.0011821579
hydrophobic_black_carbon_aerosol_mixing_ratio_ewm12,0.0011803925
sulphur_dioxide_mass_mixing_ratio_cummax,0.0011786046
sulphate_aerosol_mixing_ratio_roll12_max,0.0011779178
oh_roll24_std,0.0011759395
specific_humidity_cummean,0.0011696321
metar_visibility_mi_roll12_min,0.0011629788
c3h8_cumstd,0.0011558317
organic_nitrates_cumstd,0.0011420108
dust_aerosol_09_20_mixing_ratio_cummean,0.0011327564
metar_visibility_mi_cumstd,0.0011317347
formaldehyde_roll24_max,0.001131333
hydrophobic_organic_matter_aerosol_mixing_ratio_roll12_max,0.0011280506
sulphur_dioxide_mass_mixing_ratio_roll12_max,0.0011230331
formaldehyde_roll24_std,0.0011182886
specific_humidity_roll12_min,0.0011126437
sea_salt_aerosol_05_5_mixing_ratio_roll24_std,0.0011059202
sea_salt_aerosol_05_5_mixing_ratio_roll24_max,0.0011044107
sea_salt_aerosol_003_05_mixing_ratio_roll12_mean,0.0010872831
dust_aerosol_09_20_mixing_ratio_roll24_max,0.0010868337
nitrogen_monoxide_mass_mixing_ratio_roll3_min,0.001086471
dust_aerosol_09_20_mixing_ratio_roll24_std,0.0010838491
total_parking_minutes_roll6_std,0.0010690797
formaldehyde_cummin,0.0010657513
h2o2_roll24_mean,0.0010655856
hydrophilic_organic_matter_aerosol_mixing_ratio_roll6_max,0.0010655555
carbon_monoxide_mass_mixing_ratio_roll6_max,0.0010605613
specific_humidity_roll24_mean,0.0010585119
metar_dew_point_c_roll6_max,0.0010576491
