metric,train,test
Brier Score,0.0019233778998998705,0.09891248112751211
AUC-ROC,0.9999994768861092,0.9242249795421242
Log Loss,0.019628817115940087,0.35178120012859504
Train Size,50919,
Test Size,,12605
Train Aircraft,606,
Test Aircraft,,152
Total Features,1422,
