feature,importance
carbon_monoxide_mass_mixing_ratio_cumstd,0.0017078137
ozone_mass_mixing_ratio_roll12_min,0.0017035876
oh_cummax,0.0017026225
sulphur_dioxide_mass_mixing_ratio_ewm12,0.0017001289
metar_visibility_mi_cummean,0.0016989447
c3h8_roll24_max,0.0016963346
temperature_cummin,0.0016951163
metar_visibility_mi_cummin,0.0016653955
nitrogen_dioxide_mass_mixing_ratio_roll12_max,0.0016565389
ozone_mass_mixing_ratio_roll24_mean,0.0016537331
nitrogen_dioxide_mass_mixing_ratio_cummax,0.0016477515
hydrophobic_organic_matter_aerosol_mixing_ratio_roll12_max,0.0016444508
ozone_mass_mixing_ratio_roll24_max,0.001635888
organic_nitrates_cummax,0.0016342915
isoprene_cummin,0.0016284388
c3h8_cummax,0.0016222084
h2o2_roll24_std,0.0016173342
sea_salt_aerosol_05_5_mixing_ratio_roll24_min,0.0016097854
sea_salt_aerosol_003_05_mixing_ratio_cumstd,0.0016071415
ethane_roll12_max,0.0016069195
total_parking_minutes_ewm12,0.0016035783
sea_salt_aerosol_05_5_mixing_ratio_cummax,0.0016032688
dust_aerosol_09_20_mixing_ratio_roll24_min,0.0016006881
metar_temperature_c_cummean,0.0015953367
ozone_mass_mixing_ratio_roll12_max,0.0015912661
ethane_cummean,0.0015902191
hydrophobic_black_carbon_aerosol_mixing_ratio_cummean,0.0015887301
oh_cumstd,0.0015863907
metar_wind_speed_kn_roll24_mean,0.0015797807
hydrophobic_black_carbon_aerosol_mixing_ratio_roll3_std,0.0015792743
specific_humidity_roll24_max,0.0015789769
carbon_monoxide_mass_mixing_ratio_roll12_min,0.0015786214
metar_wind_speed_kn_cumstd,0.0015728701
metar_hour_precipitation_roll24_max,0.0015723049
metar_hour_precipitation_roll24_mean,0.0015682456
oh_roll24_max,0.0015681626
h2o2_roll24_mean,0.0015629695
specific_humidity_roll12_mean,0.0015506911
sea_salt_aerosol_05_5_mixing_ratio_roll24_max,0.0015479637
dust_aerosol_003_055_mixing_ratio_cumstd,0.0015467362
specific_humidity_roll12_max,0.0015448194
metar_relative_humidity_roll24_mean,0.0015444778
sea_salt_aerosol_003_05_mixing_ratio_roll12_min,0.0015362292
hydrophobic_organic_matter_aerosol_mixing_ratio_cummax,0.0015359123
sea_salt_aerosol_5_20_mixing_ratio_roll24_max,0.0015351527
ozone_mass_mixing_ratio_cumstd,0.001527687
nitrogen_monoxide_mass_mixing_ratio_cummax,0.0015268385
nitrogen_monoxide_mass_mixing_ratio_roll24_mean,0.0015261011
c3h8_cumstd,0.0015200335
hydrophobic_organic_matter_aerosol_mixing_ratio_roll12_mean,0.0015190252
nitrogen_monoxide_mass_mixing_ratio_roll24_min,0.0015183187
metar_temperature_c_roll24_mean,0.0015160107
sea_salt_aerosol_003_05_mixing_ratio_roll12_kurt,0.0015155969
specific_humidity_cummean,0.0015103215
formaldehyde_roll24_max,0.0014984387
dust_aerosol_055_09_mixing_ratio_cummin,0.0014975156
hydrophilic_black_carbon_aerosol_mixing_ratio_cummean,0.0014959475
sea_salt_aerosol_5_20_mixing_ratio_cummin,0.0014943586
total_parking_minutes_roll24_min,0.0014890349
sulphur_dioxide_mass_mixing_ratio_roll24_max,0.0014778832
ozone_mass_mixing_ratio_roll24_std,0.0014756001
sea_salt_aerosol_003_05_mixing_ratio_cummin,0.0014755396
sulphate_aerosol_mixing_ratio_cumstd,0.0014743523
total_parking_minutes_cummin,0.0014706037
formaldehyde_cummax,0.0014584137
metar_relative_humidity_cummean,0.0014576089
hno3_cumstd,0.0014520403
organic_nitrates_cummean,0.0014408495
sea_salt_aerosol_5_20_mixing_ratio_roll24_min,0.0014359023
isoprene_cumstd,0.0014250468
metar_visibility_mi_roll12_std,0.0014089587
metar_temperature_c_roll24_max,0.0013945351
metar_dew_point_c_roll24_std,0.0013825096
c3h8_roll24_min,0.0013725071
metar_dew_point_c_roll12_min,0.0013718368
hydrophilic_organic_matter_aerosol_mixing_ratio_roll24_min,0.0013698828
sea_salt_aerosol_5_20_mixing_ratio_roll12_min,0.0013690648
nitrogen_monoxide_mass_mixing_ratio_cumsum,0.0013660513
metar_relative_humidity_cummax,0.0013634771
dust_aerosol_055_09_mixing_ratio_cummax,0.0013624872
ozone_mass_mixing_ratio_cummax,0.0013599935
nitrogen_monoxide_mass_mixing_ratio_cummin,0.0013495442
carbon_monoxide_mass_mixing_ratio_roll24_std,0.0013423814
metar_visibility_mi_roll24_mean,0.0013401788
dust_aerosol_003_055_mixing_ratio_cummin,0.0013395187
hydrophilic_organic_matter_aerosol_mixing_ratio_cummin,0.0013371914
nitrogen_monoxide_mass_mixing_ratio_cumstd,0.001332511
metar_visibility_mi_roll24_min,0.0013319082
dust_aerosol_003_055_mixing_ratio_cummax,0.0013272852
metar_relative_humidity_roll12_min,0.0013267227
dust_aerosol_003_055_mixing_ratio_roll24_std,0.0013227905
metar_wind_speed_kn_ewm6,0.001322296
ethane_cummax,0.0013209227
sea_salt_aerosol_003_05_mixing_ratio_roll24_min,0.0013149692
sulphur_dioxide_mass_mixing_ratio_cummax,0.0013113356
organic_nitrates_roll24_mean,0.0013098986
metar_hour_precipitation_cumstd,0.0013085948
metar_wind_speed_kn_lag6,0.0013068112
sulphur_dioxide_mass_mixing_ratio_roll12_min,0.001301676
metar_visibility_mi_roll24_std,0.0013001093
nitrogen_dioxide_mass_mixing_ratio_cummean,0.0012968142
specific_humidity_roll24_std,0.0012921306
metar_dew_point_c_cummax,0.0012916686
sea_salt_aerosol_003_05_mixing_ratio_cumsum,0.0012901871
carbon_monoxide_mass_mixing_ratio_cummax,0.0012821261
